State,Avg Rainfall (Inch),Avg Humidity,Avg Sunshine (%),Avg Score,Avg Value For Money Score,Avg Price ($)
Arizona,45.24,53.00,78.00,84.88,90.49,29.20
California,44.53,53.33,45.50,88.63,91.72,38.99
Colorado,26.00,63.67,68.00,86.12,90.86,32.99
Connecticut,33.95,77.50,50.00,84.00,90.98,15.33
Hawaii,72.78,76.50,51.00,87.00,91.63,28.00
Idaho,29.63,54.67,35.00,86.61,91.92,20.77
Illinois,27.74,84.80,37.75,84.50,90.09,32.33
Iowa,22.50,87.00,#DIV/0!,83.00,90.47,15.50
Kentucky,37.20,85.50,46.50,83.00,89.17,35.00
Massachusetts,32.05,74.50,49.00,84.86,91.01,21.29
Michigan,27.45,80.40,44.33,86.15,90.91,32.43
Missouri,33.70,87.50,45.50,83.33,90.51,17.33
Nevada,29.00,48.75,58.33,84.25,89.61,37.75
New Jersey,36.50,80.00,#DIV/0!,84.00,90.30,25.50
New Mexico,37.17,62.33,71.50,83.96,90.48,22.42
New York,30.15,79.50,26.80,87.18,92.07,22.83
North Carolina,42.56,87.00,55.80,84.57,90.88,21.00
Ohio,31.03,82.63,28.00,89.05,92.09,36.55
Oregon,37.09,71.57,20.00,84.08,91.13,13.75
Pennsylvania,33.46,80.29,33.67,84.56,90.72,23.33
Rhode Island,34.30,77.00,51.00,90.00,93.33,25.00
Texas,47.26,82.09,57.25,85.22,90.90,25.60
Vermont,25.80,77.00,31.00,84.33,90.06,31.67
Virginia,40.43,82.00,53.00,85.62,91.01,27.01
Washington,33.68,76.40,19.33,88.95,92.31,32.44